item, intercept, item_coef, p-value
ft1, -104638.957779833, 15045.034853095, 0
ft2, -79771.8813293465, 29202.4026871708, 0
ft3, -25256.5969631665, 25090.0752234125, 0
ft5, -108974.284016537, 29202.4026871692, 0
ft6, -25256.5969631665, 25090.0752234125, 0
ft8, -78362.6230271559, 31698.5328675193, 0
ft9, 42459.981041455, -34845.0069281939, 9.1059515907745e-111
ft10, 38350.1444789243, -29623.5506074735, 1.54060772250652e-74
ft11, -34180.5074947934, 36074.3855594525, 0
ft13, -63731.0774969676, 15248.1226760097, 0
ft14, -19415.4346437694, 59716.7545948835, 0
ft16, -69229.4461690211, 9781.2901556672, 0
ft17, 33180.1090976678, -8361.03364082634, 1.44979705832825e-39
ft24, 2950.73329406674, 729.844852471074, 1.35746526242985e-121
ft25, 37845.5627924154, -1745.14564556873, 1.10000599389617e-16
ft20, -25256.5969631665, 25090.0752234125, 0
ft21, 6393.24493391808, 693.526578179223, 4.02624255630148e-105
ft35, 14867.9293428431, 3257.91194298896, 1.83715376403482e-47
ft22, -17327.1488960608, 4439.82150461437, 0
ft23, 29901.4870413282, -22342.205791323, 3.0448798259397e-13
ft34, -723.29481589579, 4457.97869637799, 2.86326289184816e-204
ft36, 12864.9237819994, 5404.68668404235, 3.90371997403272e-51
ft41, -2838.6056068562, 4470.83547472843, 2.57694759557877e-319
ft46, -7753.99302334309, 11811.1522572874, 0
ft48, -17191.435718494, 20049.5572938775, 1.76422214005659e-277
ft47, -26016.8449087129, 7175.23148218997, 0
ft49, -2237.68781979747, 10667.332855252, 4.19576518735656e-266
ft50, -429.598578926762, 366.633989914839, 1.3349149825764e-150
ft52, -16713.8770497724, 1684.57590316453, 0
ft54, -883.344657565724, 4492.78357906453, 2.46286461022361e-123
ft26, -98824.1494626904, 186578.870795983, 0
ft27, 537470.558337584, -269019.059893774, 0
ft28, -55356.6571615573, 32601.1641042617, 0
ft29, 29157.5629452455, -22651.1953857206, 1.03790098880702e-07
ft30, -67844.7147475383, 22699.8664330429, 0
ft32, -48810.6494303537, 29663.1286579908, 0
X.fpartial.inlining, 27894.570244488, 13771.8616999625, 0.000828341468812938
X.fno.strict.overflow, 27887.5615763555, 16270.6050903142, 0.000243414453616416
X.fno.optimize.sibling.calls, 27957.2744842684, 12259.8839315755, 0.00317744784453906
X.fno.ira.hoist.pressure, 28060.9167439474, 13397.4564812028, 0.00679100966081767
X.fno.tree.ch, 28838.7467179846, -9483.12385473235, 0.00906017377714428
X.fno.modulo.sched, 27956.6236491786, 11605.2025540308, 0.00411460212987931
X.ftrapv, 26841.3049041633, 40845.0800164746, 2.92140000716254e-24
X.fipa.cp, 28046.6175722672, 10866.7862132214, 0.0131099590673882
